"attribute_index","attribute_id","attribute_label","schema_category","layer_1_id","layer_1","layer_2_id","layer_2","layer_3_id","layer_3"
"559","cult_united_states","Culture: United States","Interests: Culture","lifestyle_health","Lifestyle and Health","culture_daily_life","Culture and Daily Life","cultural_familiarity","Cultural Familiarity"
"560","cult_canada","Culture: Canada","Interests: Culture","lifestyle_health","Lifestyle and Health","culture_daily_life","Culture and Daily Life","cultural_familiarity","Cultural Familiarity"
"561","cult_mexico","Culture: Mexico","Interests: Culture","lifestyle_health","Lifestyle and Health","culture_daily_life","Culture and Daily Life","cultural_familiarity","Cultural Familiarity"
"562","cult_brazil","Culture: Brazil","Interests: Culture","lifestyle_health","Lifestyle and Health","culture_daily_life","Culture and Daily Life","cultural_familiarity","Cultural Familiarity"
"563","cult_argentina","Culture: Argentina","Interests: Culture","lifestyle_health","Lifestyle and Health","culture_daily_life","Culture and Daily Life","cultural_familiarity","Cultural Familiarity"
"564","cult_united_kingdom","Culture: United Kingdom","Interests: Culture","lifestyle_health","Lifestyle and Health","culture_daily_life","Culture and Daily Life","cultural_familiarity","Cultural Familiarity"
"565","cult_france","Culture: France","Interests: Culture","lifestyle_health","Lifestyle and Health","culture_daily_life","Culture and Daily Life","cultural_familiarity","Cultural Familiarity"
"566","cult_germany","Culture: Germany","Interests: Culture","lifestyle_health","Lifestyle and Health","culture_daily_life","Culture and Daily Life","cultural_familiarity","Cultural Familiarity"
"567","cult_italy","Culture: Italy","Interests: Culture","lifestyle_health","Lifestyle and Health","culture_daily_life","Culture and Daily Life","cultural_familiarity","Cultural Familiarity"
"568","cult_spain","Culture: Spain","Interests: Culture","lifestyle_health","Lifestyle and Health","culture_daily_life","Culture and Daily Life","cultural_familiarity","Cultural Familiarity"
"569","cult_netherlands","Culture: Netherlands","Interests: Culture","lifestyle_health","Lifestyle and Health","culture_daily_life","Culture and Daily Life","cultural_familiarity","Cultural Familiarity"
"570","cult_sweden","Culture: Sweden","Interests: Culture","lifestyle_health","Lifestyle and Health","culture_daily_life","Culture and Daily Life","cultural_familiarity","Cultural Familiarity"
"571","cult_poland","Culture: Poland","Interests: Culture","lifestyle_health","Lifestyle and Health","culture_daily_life","Culture and Daily Life","cultural_familiarity","Cultural Familiarity"
"572","cult_russia","Culture: Russia","Interests: Culture","lifestyle_health","Lifestyle and Health","culture_daily_life","Culture and Daily Life","cultural_familiarity","Cultural Familiarity"
"573","cult_turkey","Culture: Turkey","Interests: Culture","lifestyle_health","Lifestyle and Health","culture_daily_life","Culture and Daily Life","cultural_familiarity","Cultural Familiarity"
"574","cult_egypt","Culture: Egypt","Interests: Culture","lifestyle_health","Lifestyle and Health","culture_daily_life","Culture and Daily Life","cultural_familiarity","Cultural Familiarity"
"575","cult_saudi_arabia","Culture: Saudi Arabia","Interests: Culture","lifestyle_health","Lifestyle and Health","culture_daily_life","Culture and Daily Life","cultural_familiarity","Cultural Familiarity"
"576","cult_uae","Culture: UAE","Interests: Culture","lifestyle_health","Lifestyle and Health","culture_daily_life","Culture and Daily Life","cultural_familiarity","Cultural Familiarity"
"577","cult_israel","Culture: Israel","Interests: Culture","lifestyle_health","Lifestyle and Health","culture_daily_life","Culture and Daily Life","cultural_familiarity","Cultural Familiarity"
"578","cult_iran","Culture: Iran","Interests: Culture","lifestyle_health","Lifestyle and Health","culture_daily_life","Culture and Daily Life","cultural_familiarity","Cultural Familiarity"
"579","cult_nigeria","Culture: Nigeria","Interests: Culture","lifestyle_health","Lifestyle and Health","culture_daily_life","Culture and Daily Life","cultural_familiarity","Cultural Familiarity"
"580","cult_kenya","Culture: Kenya","Interests: Culture","lifestyle_health","Lifestyle and Health","culture_daily_life","Culture and Daily Life","cultural_familiarity","Cultural Familiarity"
"581","cult_south_africa","Culture: South Africa","Interests: Culture","lifestyle_health","Lifestyle and Health","culture_daily_life","Culture and Daily Life","cultural_familiarity","Cultural Familiarity"
"582","cult_ethiopia","Culture: Ethiopia","Interests: Culture","lifestyle_health","Lifestyle and Health","culture_daily_life","Culture and Daily Life","cultural_familiarity","Cultural Familiarity"
"583","cult_india","Culture: India","Interests: Culture","lifestyle_health","Lifestyle and Health","culture_daily_life","Culture and Daily Life","cultural_familiarity","Cultural Familiarity"
"584","cult_pakistan","Culture: Pakistan","Interests: Culture","lifestyle_health","Lifestyle and Health","culture_daily_life","Culture and Daily Life","cultural_familiarity","Cultural Familiarity"
"585","cult_bangladesh","Culture: Bangladesh","Interests: Culture","lifestyle_health","Lifestyle and Health","culture_daily_life","Culture and Daily Life","cultural_familiarity","Cultural Familiarity"
"586","cult_china","Culture: China","Interests: Culture","lifestyle_health","Lifestyle and Health","culture_daily_life","Culture and Daily Life","cultural_familiarity","Cultural Familiarity"
"587","cult_japan","Culture: Japan","Interests: Culture","lifestyle_health","Lifestyle and Health","culture_daily_life","Culture and Daily Life","cultural_familiarity","Cultural Familiarity"
"588","cult_south_korea","Culture: South Korea","Interests: Culture","lifestyle_health","Lifestyle and Health","culture_daily_life","Culture and Daily Life","cultural_familiarity","Cultural Familiarity"
"589","cult_vietnam","Culture: Vietnam","Interests: Culture","lifestyle_health","Lifestyle and Health","culture_daily_life","Culture and Daily Life","cultural_familiarity","Cultural Familiarity"
"590","cult_thailand","Culture: Thailand","Interests: Culture","lifestyle_health","Lifestyle and Health","culture_daily_life","Culture and Daily Life","cultural_familiarity","Cultural Familiarity"
"591","cult_indonesia","Culture: Indonesia","Interests: Culture","lifestyle_health","Lifestyle and Health","culture_daily_life","Culture and Daily Life","cultural_familiarity","Cultural Familiarity"
"592","cult_philippines","Culture: Philippines","Interests: Culture","lifestyle_health","Lifestyle and Health","culture_daily_life","Culture and Daily Life","cultural_familiarity","Cultural Familiarity"
"593","cult_australia","Culture: Australia","Interests: Culture","lifestyle_health","Lifestyle and Health","culture_daily_life","Culture and Daily Life","cultural_familiarity","Cultural Familiarity"
"594","cult_new_zealand","Culture: New Zealand","Interests: Culture","lifestyle_health","Lifestyle and Health","culture_daily_life","Culture and Daily Life","cultural_familiarity","Cultural Familiarity"
"595","cult_singapore","Culture: Singapore","Interests: Culture","lifestyle_health","Lifestyle and Health","culture_daily_life","Culture and Daily Life","cultural_familiarity","Cultural Familiarity"
"596","cult_malaysia","Culture: Malaysia","Interests: Culture","lifestyle_health","Lifestyle and Health","culture_daily_life","Culture and Daily Life","cultural_familiarity","Cultural Familiarity"
"597","cult_greece","Culture: Greece","Interests: Culture","lifestyle_health","Lifestyle and Health","culture_daily_life","Culture and Daily Life","cultural_familiarity","Cultural Familiarity"
"598","cult_portugal","Culture: Portugal","Interests: Culture","lifestyle_health","Lifestyle and Health","culture_daily_life","Culture and Daily Life","cultural_familiarity","Cultural Familiarity"
"599","musg_pop","Music: Pop","Interests: Media","lifestyle_health","Lifestyle and Health","interests","Interests","media","Media"
"600","musg_rock","Music: Rock","Interests: Media","lifestyle_health","Lifestyle and Health","interests","Interests","media","Media"
"601","musg_hip_hop","Music: Hip-hop","Interests: Media","lifestyle_health","Lifestyle and Health","interests","Interests","media","Media"
"602","musg_r_b","Music: R&B","Interests: Media","lifestyle_health","Lifestyle and Health","interests","Interests","media","Media"
"603","musg_jazz","Music: Jazz","Interests: Media","lifestyle_health","Lifestyle and Health","interests","Interests","media","Media"
"604","musg_blues","Music: Blues","Interests: Media","lifestyle_health","Lifestyle and Health","interests","Interests","media","Media"
"605","musg_classical","Music: Classical","Interests: Media","lifestyle_health","Lifestyle and Health","interests","Interests","media","Media"
"606","musg_opera","Music: Opera","Interests: Media","lifestyle_health","Lifestyle and Health","interests","Interests","media","Media"
"607","musg_country","Music: Country","Interests: Media","lifestyle_health","Lifestyle and Health","interests","Interests","media","Media"
"608","musg_folk","Music: Folk","Interests: Media","lifestyle_health","Lifestyle and Health","interests","Interests","media","Media"
"609","musg_reggae","Music: Reggae","Interests: Media","lifestyle_health","Lifestyle and Health","interests","Interests","media","Media"
"610","musg_reggaeton","Music: Reggaeton","Interests: Media","lifestyle_health","Lifestyle and Health","interests","Interests","media","Media"
"611","musg_electronic","Music: Electronic","Interests: Media","lifestyle_health","Lifestyle and Health","interests","Interests","media","Media"
"612","musg_house","Music: House","Interests: Media","lifestyle_health","Lifestyle and Health","interests","Interests","media","Media"
"613","musg_techno","Music: Techno","Interests: Media","lifestyle_health","Lifestyle and Health","interests","Interests","media","Media"
"614","musg_trance","Music: Trance","Interests: Media","lifestyle_health","Lifestyle and Health","interests","Interests","media","Media"
"615","musg_drum_bass","Music: Drum & bass","Interests: Media","lifestyle_health","Lifestyle and Health","interests","Interests","media","Media"
"616","musg_metal","Music: Metal","Interests: Media","lifestyle_health","Lifestyle and Health","interests","Interests","media","Media"
"617","musg_punk","Music: Punk","Interests: Media","lifestyle_health","Lifestyle and Health","interests","Interests","media","Media"
"618","musg_indie","Music: Indie","Interests: Media","lifestyle_health","Lifestyle and Health","interests","Interests","media","Media"
"619","musg_k_pop","Music: K-pop","Interests: Media","lifestyle_health","Lifestyle and Health","interests","Interests","media","Media"
"620","musg_j_pop","Music: J-pop","Interests: Media","lifestyle_health","Lifestyle and Health","interests","Interests","media","Media"
"621","musg_latin","Music: Latin","Interests: Media","lifestyle_health","Lifestyle and Health","interests","Interests","media","Media"
"622","musg_afrobeats","Music: Afrobeats","Interests: Media","lifestyle_health","Lifestyle and Health","interests","Interests","media","Media"
"623","musg_gospel","Music: Gospel","Interests: Media","lifestyle_health","Lifestyle and Health","interests","Interests","media","Media"
"624","musg_soul","Music: Soul","Interests: Media","lifestyle_health","Lifestyle and Health","interests","Interests","media","Media"
"625","musg_funk","Music: Funk","Interests: Media","lifestyle_health","Lifestyle and Health","interests","Interests","media","Media"
"626","musg_disco","Music: Disco","Interests: Media","lifestyle_health","Lifestyle and Health","interests","Interests","media","Media"
"627","musg_ambient","Music: Ambient","Interests: Media","lifestyle_health","Lifestyle and Health","interests","Interests","media","Media"
"628","musg_lo_fi","Music: Lo-fi","Interests: Media","lifestyle_health","Lifestyle and Health","interests","Interests","media","Media"
"629","musg_bluegrass","Music: Bluegrass","Interests: Media","lifestyle_health","Lifestyle and Health","interests","Interests","media","Media"
